"NAME","COMPOSER","GENRE","LENGTH","Piano","Bass","Drum","Tenor Saxophone","Guitar","Flute","Baritone Saxophone","Keyboard","Percussion","Trumpet","Trombone","Alto Saxophone","Piccolo","Oboe","Clarinet","Bassoons","Horn","Tuba","Timpani","Cymbal","Triangle","Glockenspiel","Strings","Cornet","Harp","English Horn","Bass Clarinet","Piccolo Clarinet","Contrabassoon","Tambourine","Snare Drum","Tam-Tam","Bell","Continuo","Violin","Viola","Cello","Norwegian Fiddel","Harpsichord","Organ","Ophicleide","Sarrusophone","Xylophone","Castanets"
"The Schieferdecker Wedding Overture and March","Mondry, Nathan Adam","Wedding Marches","2 Movements","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"3 Pieces in the first position","Moffat, Alfred","Wedding Marches","3 Movements","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Nellie Grants Wedding March","Winner, Septimus","Wedding Marches","NA","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Hochzeitsmarsch ","Attrup, Karl","Wedding Marches","1 Movement","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Wedding March No.1","Gounod, Charles","Wedding Marches","NA","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Wedding March on 'Praise to the Lord the Almighty'","Lahme, Christoph","Wedding Marches","1 Movement","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Wedding March, Op.21","Glazunov, Aleksandr","Wedding Marches","1 Movement","0","0","1","0","0","2","0","0","0","2","3","0","1","2","2","2","4","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wedding March","Bernardez, Pedro","Wedding Marches","1 Movement","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0"
"Wedding March","Pachman, Jason L.","Wedding Marches","NA","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"An Epithalamium","Lockhart, Charles","Wedding Music","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
